Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
2014,3,La Pampa,62,564,62
2014,3,La Rioja,16,23,16
2014,3,Mendoza,166,2,168
2014,3,Misiones,75,0,75
2014,3,Neuquén,100,2,102
2014,3,Río Negro,97,1,98
2014,3,Salta,93,25,93
2014,3,San Juan,51,748,52
2014,3,San Luis,13,363,13
2014,3,Santa Cruz,26,446,26
2014,3,Santa Fe,520,691,521
2014,3,Santiago Del Estero,38,9,38
2014,3,Tierra Del Fuego,28,755,29
2014,3,Tucumán,132,88,132
2014,2,Buenos Aires,3,14,3
2014,2,Capital Federal,1,11,1
2014,2,Catamarca,25,23,25
2014,2,Chaco,63,36,63
2014,2,Chubut,69,2,71
2014,2,Córdoba,577,205,577
2014,2,Corrientes,63,33,63
2014,2,Entre Ríos,135,115,136
2014,2,Formosa,26,65,26
2014,2,Jujuy,34,2,34
2014,2,La Pampa,55,580,56
2014,2,La Rioja,16,23,16
2014,2,Mendoza,165,2,167
2014,2,Misiones,75,0,75
2014,2,Neuquén,90,2,92
2014,2,Río Negro,95,1,96
2014,2,Salta,92,25,92
2014,2,San Juan,51,755,52
2014,2,San Luis,13,364,13
2014,2,Santa Cruz,27,459,27
2014,2,Santa Fe,512,605,512
2014,2,Santiago Del Estero,38,9,38
2014,2,Tierra Del Fuego,27,766,28
2014,2,Tucumán,132,88,132
2014,1,Buenos Aires,3,14,3
2014,1,Capital Federal,1,11,1
2014,1,Catamarca,24,23,24
2014,1,Chaco,63,36,63
2014,1,Chubut,68,2,70
2014,1,Córdoba,567,205,567
2014,1,Corrientes,62,33,62
2014,1,Entre Ríos,134,115,134
2014,1,Formosa,25,87,25
2014,1,Jujuy,34,2,34
2014,1,La Pampa,54,592,54
2014,1,La Rioja,16,23,16
2014,1,Mendoza,164,2,166
2014,1,Misiones,74,0,74
2014,1,Neuquén,88,2,90
2014,1,Río Negro,94,1,95
2014,1,Salta,91,25,91
2014,1,San Juan,51,755,51
2014,1,San Luis,12,364,13
2014,1,Santa Cruz,26,460,27
2014,1,Santa Fe,506,612,507
2014,1,Santiago Del Estero,37,9,37
2014,1,Tierra Del Fuego,27,766,28
2014,1,Tucumán,130,88,130
